228.484	197.808	65.12515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.37402
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	8.350201	20.48663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3.046807	0.6551956	0	0	0	0	0	0	93.97659	190.759	227.0698	211.4724	115.9076	0	0	0	0	0	0	0
17.31406	0	0	0	0	0	0	0.3557487	322.0913	517.1859	495.11	565.4197	305.792	44.3719	17.30457	17.08684	20.12667	26.54758	153.6681	4.359898	266.1653	268.7712	248.5421	146.8619
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	14.08542	92.38338	51.43141	0.3276131	0	0	0	0	0	0.4675462	105.3554	198.6221	247.0903	231.3018	185.6154	77.14896	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	8.733045	234.2398	164.0217	16.78814	476.372	603.9419	329.5849	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	28.05279	335.7316	457.005	496.8284	603.4736	462.5864	428.8242	369.8303	136.9902	232.9684	130.892	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.551838	47.84937	0	0	15.72146	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	39.31134	366.9192	528.4224	560.7816	601.672	588.2524	551.0717	517.1906	359.3996	59.31214	0	0
0	0	15.46044	85.66742	47.20689	1.310237	0	0	0	0	0	0.9350924	104.6661	202.361	243.0286	257.9237	187.018	84.39577	0	0	0	0	0	0
0	0	0	0	0	0	0	0	23.84487	333.3135	464.6373	508.0587	616.5483	480.1024	419.3657	357.5452	131.8468	224.7278	127.8023	0	0	0	0	0
0	0	0	0	0	0	0.2507192	79.13163	146.5847	176.2653	166.4919	206.0345	103.649	44.19045	0	0	23.39773	152.3877	84.33078	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.767184	143.1312	235.0459	272.4766	283.3221	213.4986	0.6552293
956.4979	577.0485	623.4433	912.0353	778.6298	371.7781	360.3799	360.3799	360.3799	124.8393	4.520323	4.750329	1.441509	1.014726	1.047964	1.080687	0	0.7207378	1.407254	265.7203	1249.588	1115.265	684.2965	986.5893
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	42.78129	214.3878	309.0086	310.8103	314.1843	305.2389	290.1355	240.5674	73.90358	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.897915	148.3399	235.1281	266.1553	280.4071	227.0963	2.031218	0	0
0	0	0	0	0	0	0	308.914	490.3153	321.0082	37.78148	0	0	68.92659	210.5119	225.5851	134.3811	0	0	0	0	0	0	0
83.52986	245.5925	184.3508	67.3914	0	0	0	0	0	0	0	0	0	0	0	0	0	68.9941	0	0	19.08645	167.2959	253.5672	11.71202
55.75722	1.669866	0	0	0	0	0	0	105.6652	203.6843	249.2239	273.5243	216.3762	98.82075	0	0	0	0	0	0	0	55.8844	92.81042	86.2588
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.733928	154.6945	212.4591	67.61284	0	0	0
0	0	0	0	0	0	0	0	0	43.39764	381.8786	509.3272	580.9323	560.1151	620.2565	580.6976	495.1972	365.2021	57.09443	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.5547155	140.7514	220.2707	213.222	80.64626	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.81587	4.33958	0	0	0	0
0	0	0	0	12.34713	293.8489	473.9601	539.8696	587.7166	526.9918	539.309	472.7871	199.4868	0	0	0	0	0	0	0	0	0	0	0
568.5079	27.7479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465.689	9.407516
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.2519	280.0249	148.3675	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1.54083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	24.01705	262.0039	246.7203	41.484	0	0	0	0	0	0	0	0	0	0	0
945.4968	1031.582	1062.923	1094.612	1117.246	1126.841	1131.48	1124.879	1111.976	1088.477	1045.979	332.8099	4.365609	3.081671	1.797625	1.027185	1.797654	2.054465	1.797531	2.824744	12.06973	0	0	0
464.5804	490.6483	443.0029	394.5303	174.0494	0	0	0	18.96636	610.4496	390.7876	473.432	517.6281	522.1157	460.3132	311.2534	30.94004	0	0	0	0	250.3315	406.9136	471.6641
159.4582	0	0	0	0	0	0	0	0	0	431.153	420.9114	240.2746	533.8279	289.061	283.9766	278.5389	155.0212	6.583492	0	76.27688	235.4662	318.9245	352.1951
31.51565	185.6382	206.9198	344.3705	745.9367	1108.377	1114.973	1108.518	1099.572	1080.845	1050.133	1015.705	287.7782	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306.2569	281.8065	222.6694	290.2041	350.8698	69.81369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.39865	215.0714	296.9412
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491.7605	699.7053	989.9417	1091.457	1108.798	547.9794	55.18493	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	3.513151	47.99158	57.26891	3.004946	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
